,Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
1910,2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Wyoming,83,16.4
1911,1999,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,1182,16.5
1912,2000,Alzheimer's disease (G30),Alzheimer's disease,Mississippi,443,16.5
1913,2000,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,2542,16.5
1914,1999,Alzheimer's disease (G30),Alzheimer's disease,United States,44536,16.5
1915,1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,California,4560,16.5
1916,2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,District of Columbia,91,16.5
1917,2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Hawaii,241,16.5
1918,2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Indiana,1098,16.5
1919,2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,New Hampshire,194,16.5
1920,2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,New Mexico,355,16.5
1921,2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,North Carolina,1896,16.5
1922,2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Oklahoma,717,16.5
1923,2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Pennsylvania,2716,16.5
1924,2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Texas,3387,16.5
1925,2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,United States,53692,16.5
1926,2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Maine,269,16.5
1927,2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,South Carolina,632,16.5
1928,2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Texas,4008,16.5
1929,2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Arizona,1016,16.5
1930,2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Colorado,722,16.5
1931,2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Idaho,228,16.5
1932,2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,New Hampshire,228,16.5
1933,2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Oklahoma,618,16.5
1934,1999,Alzheimer's disease (G30),Alzheimer's disease,California,4532,16.6
1935,2007,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,764,16.6
1936,2014,Alzheimer's disease (G30),Alzheimer's disease,Delaware,188,16.6
1937,1999,Alzheimer's disease (G30),Alzheimer's disease,Kansas,511,16.6
1938,2010,Diabetes mellitus (E10-E14),Diabetes,Hawaii,272,16.6
1939,2007,Diabetes mellitus (E10-E14),Diabetes,Massachusetts,1222,16.6
1940,2009,Diabetes mellitus (E10-E14),Diabetes,Rhode Island,213,16.6
1941,2016,Diabetes mellitus (E10-E14),Diabetes,Wyoming,112,16.6
1942,2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,California,6551,16.6
1943,2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,California,6200,16.6
1944,2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Iowa,661,16.6
1945,2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Ohio,2445,16.6
1946,2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Ohio,2374,16.6
1947,2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Ohio,2291,16.6
1948,2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,South Dakota,185,16.6
1949,2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Kansas,569,16.6
1950,2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Kansas,498,16.6
1951,2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Michigan,1665,16.6
1952,2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Nevada,412,16.6
1953,2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,North Carolina,1780,16.6
1954,2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Virginia,1543,16.6
1955,2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Arizona,886,16.6
1956,2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Colorado,811,16.6
1957,2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Maine,235,16.6
1958,2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Oregon,656,16.6
1959,2015,Alzheimer's disease (G30),Alzheimer's disease,Alaska,68,16.7
1960,2002,Alzheimer's disease (G30),Alzheimer's disease,Delaware,128,16.7
1961,2002,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,1522,16.7
1962,2006,Diabetes mellitus (E10-E14),Diabetes,Colorado,677,16.7
1963,2015,Diabetes mellitus (E10-E14),Diabetes,Massachusetts,1398,16.7
1964,2010,Diabetes mellitus (E10-E14),Diabetes,New York,3642,16.7
1965,2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,New Mexico,344,16.7
1966,2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,South Dakota,195,16.7
1967,2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Wisconsin,1116,16.7
1968,2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Arizona,1060,16.7
1969,2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Idaho,252,16.7
1970,2012,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,842,16.8
1971,2010,Alzheimer's disease (G30),Alzheimer's disease,Maryland,986,16.8
1972,2001,Alzheimer's disease (G30),Alzheimer's disease,Mississippi,449,16.8
1973,2010,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,343,16.8
1974,2007,Diabetes mellitus (E10-E14),Diabetes,Colorado,710,16.8
1975,2003,Diabetes mellitus (E10-E14),Diabetes,Connecticut,665,16.8
1976,2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Arizona,1068,16.8
1977,2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Georgia,1494,16.8
1978,2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Illinois,2485,16.8
1979,2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Illinois,2441,16.8
1980,2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Maine,302,16.8
1981,2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Maine,269,16.8
1982,2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Oklahoma,723,16.8
1983,2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,South Carolina,723,16.8
1984,2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,United States,52717,16.8
1985,2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Kansas,582,16.8
1986,2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,New Jersey,1495,16.8
1987,2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Pennsylvania,2873,16.8
1988,1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alaska,96,16.8
1989,2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Colorado,865,16.8
1990,2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Kentucky,756,16.8
1991,2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Oregon,698,16.8
1992,2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,South Dakota,141,16.8
1993,2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Vermont,112,16.8
1994,2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Wyoming,83,16.8
1995,2009,Alzheimer's disease (G30),Alzheimer's disease,Delaware,163,16.9
1996,2013,Alzheimer's disease (G30),Alzheimer's disease,Florida,5093,16.9
1997,2006,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,1649,16.9
1998,2016,Diabetes mellitus (E10-E14),Diabetes,New York,4038,16.9
1999,2008,Diabetes mellitus (E10-E14),Diabetes,New York,3605,16.9
2000,2016,Diabetes mellitus (E10-E14),Diabetes,Rhode Island,239,16.9
2001,2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Hawaii,236,16.9
2002,2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Indiana,1175,16.9
2003,2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Maryland,976,16.9
2004,2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Massachusetts,1418,16.9
2005,2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Michigan,1853,16.9
2006,2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Minnesota,900,16.9
2007,2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,397,16.9
2008,2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Ohio,2443,16.9
2009,2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Delaware,152,16.9
2010,2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Indiana,1221,16.9
2011,2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Kansas,517,16.9
2012,2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Ohio,2027,16.9
2013,2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Pennsylvania,3021,16.9
2014,1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Virginia,1035,16.9
2015,2003,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,95,17.0
2016,1999,Alzheimer's disease (G30),Alzheimer's disease,Rhode Island,219,17.0
2017,2002,Alzheimer's disease (G30),Alzheimer's disease,South Dakota,167,17.0
2018,2016,Diabetes mellitus (E10-E14),Diabetes,Delaware,203,17.0
2019,2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Hawaii,289,17.0
2020,2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Idaho,219,17.0
2021,2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Massachusetts,1348,17.0
2022,2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1213,17.0
2023,2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,366,17.0
2024,2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,North Dakota,148,17.0
2025,2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,North Dakota,148,17.0
2026,2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,South Dakota,177,17.0
2027,2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,South Dakota,173,17.0
2028,2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Texas,3230,17.0
2029,2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Virginia,1442,17.0
2030,2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Illinois,2518,17.0
2031,2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Illinois,2392,17.0
2032,2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,New Jersey,1495,17.0
2033,2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,North Carolina,1705,17.0
2034,2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Texas,3291,17.0
2035,2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Arizona,1093,17.0
2036,2010,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,820,17.1
2037,2012,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,1881,17.1
2038,2012,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,373,17.1
2039,2007,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,322,17.1
2040,2014,Chronic lower respiratory diseases (J40-J47),CLRD,Hawaii,313,17.1
2041,2015,Diabetes mellitus (E10-E14),Diabetes,New York,4045,17.1
2042,2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,987,17.1
2043,2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Arkansas,623,17.1
2044,2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Hawaii,270,17.1
2045,2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Maryland,1036,17.1
2046,2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Massachusetts,1512,17.1
2047,2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,New Jersey,1586,17.1
2048,2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Utah,358,17.1
2049,2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Utah,348,17.1
2050,2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Utah,313,17.1
2051,2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Vermont,111,17.1
2052,2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Virginia,1498,17.1
2053,2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Delaware,208,17.1
2054,2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Illinois,2444,17.1
2055,2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Maine,264,17.1
2056,2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Massachusetts,1250,17.1
2057,2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Massachusetts,1207,17.1
2058,2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,New Jersey,1597,17.1
2059,2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,North Carolina,2002,17.1
2060,2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Ohio,2093,17.1
2061,2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Kentucky,776,17.1
2062,2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Missouri,1052,17.1
2063,2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Oregon,685,17.1
2064,2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,South Dakota,141,17.1
2065,2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,West Virginia,326,17.1
2066,2014,Alzheimer's disease (G30),Alzheimer's disease,Alaska,68,17.2
2067,2001,Alzheimer's disease (G30),Alzheimer's disease,California,4935,17.2
2068,2000,Alzheimer's disease (G30),Alzheimer's disease,West Virginia,361,17.2
2069,2009,Diabetes mellitus (E10-E14),Diabetes,Colorado,779,17.2
2070,1999,Diabetes mellitus (E10-E14),Diabetes,Nevada,286,17.2
2071,2009,Diabetes mellitus (E10-E14),Diabetes,Wisconsin,1110,17.2
2072,2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Connecticut,776,17.2
2073,2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,District of Columbia,98,17.2
2074,2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Hawaii,257,17.2
2075,2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Maryland,1103,17.2
2076,2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1205,17.2
2077,2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,North Carolina,1874,17.2
2078,2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Virginia,1231,17.2
2079,2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Illinois,2517,17.2
2080,2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Illinois,2386,17.2
2081,2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,New Jersey,1709,17.2
2082,2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Oklahoma,664,17.2
2083,2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Utah,393,17.2
2084,2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Colorado,800,17.2
2085,2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Colorado,797,17.2
2086,2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,New Hampshire,244,17.2
2087,2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Oklahoma,665,17.2
2088,2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Utah,377,17.2
2089,2006,Alzheimer's disease (G30),Alzheimer's disease,Maryland,915,17.3
2090,2002,Alzheimer's disease (G30),Alzheimer's disease,Nevada,253,17.3
2091,1999,Alzheimer's disease (G30),Alzheimer's disease,Utah,245,17.3
2092,2015,Chronic lower respiratory diseases (J40-J47),CLRD,Hawaii,332,17.3
2093,2002,Diabetes mellitus (E10-E14),Diabetes,Connecticut,675,17.3
2094,1999,Diabetes mellitus (E10-E14),Diabetes,Hawaii,211,17.3
2095,2009,Diabetes mellitus (E10-E14),Diabetes,New York,3723,17.3
2096,2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Illinois,2424,17.3
2097,2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Kentucky,888,17.3
2098,2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Nebraska,347,17.3
2099,2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,New Jersey,1637,17.3
2100,2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,South Carolina,724,17.3
2101,2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,West Virginia,423,17.3
2102,2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Arkansas,500,17.3
2103,2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Illinois,2543,17.3
2104,1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Indiana,1022,17.3
2105,2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Kansas,556,17.3
2106,2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Kansas,517,17.3
2107,2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,New Jersey,1645,17.3
2108,2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,North Carolina,1387,17.3
2109,2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Arizona,1156,17.3
2110,2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Arkansas,515,17.3
2111,2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Arkansas,516,17.3
2112,2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,North Dakota,128,17.3
2113,2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Vermont,118,17.3
2114,2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Wyoming,90,17.3
2115,2005,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,777,17.4
2116,2016,Alzheimer's disease (G30),Alzheimer's disease,Maryland,1178,17.4
2117,2000,Alzheimer's disease (G30),Alzheimer's disease,Nebraska,353,17.4
2118,2014,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,1962,17.4
2119,2013,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,3271,17.4
2120,2014,Diabetes mellitus (E10-E14),Diabetes,New York,4064,17.4
2121,2013,Diabetes mellitus (E10-E14),Diabetes,Vermont,139,17.4
2122,2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Delaware,145,17.4
2123,2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Indiana,1191,17.4
2124,2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Indiana,1129,17.4
2125,2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Missouri,1188,17.4
2126,2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Washington,965,17.4
2127,2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Alabama,1012,17.4
2128,2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Delaware,163,17.4
2129,2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Kansas,594,17.4
2130,2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Kansas,574,17.4
2131,2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Maine,265,17.4
2132,2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Missouri,1118,17.4
2133,2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Missouri,1083,17.4
2134,2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,North Carolina,1332,17.4
2135,2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Kansas,502,17.4
2136,2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Maine,245,17.4
2137,2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,West Virginia,340,17.4
2138,2001,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,99,17.5
2139,2001,Alzheimer's disease (G30),Alzheimer's disease,Illinois,2163,17.5
2140,2000,Alzheimer's disease (G30),Alzheimer's disease,Michigan,1646,17.5
2141,2003,Alzheimer's disease (G30),Alzheimer's disease,South Dakota,174,17.5
2142,2002,Diabetes mellitus (E10-E14),Diabetes,Nevada,343,17.5
2143,2001,Diabetes mellitus (E10-E14),Diabetes,Nevada,322,17.5
2144,2012,Diabetes mellitus (E10-E14),Diabetes,New Hampshire,275,17.5
2145,2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Colorado,637,17.5
2146,2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Georgia,1457,17.5
2147,2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Louisiana,854,17.5
2148,2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Louisiana,808,17.5
2149,2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,New Mexico,351,17.5
2150,2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Massachusetts,1381,17.5
2151,2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,New Jersey,1715,17.5
2152,2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,New Jersey,1690,17.5
2153,2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Virginia,1419,17.5
2154,2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Wisconsin,1163,17.5
2155,2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Arizona,1163,17.5
2156,2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Colorado,913,17.5
2157,2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Montana,158,17.5
2158,2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,North Dakota,124,17.5
2159,2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,South Dakota,140,17.5
2160,2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Wyoming,88,17.5
2161,2013,Alzheimer's disease (G30),Alzheimer's disease,Delaware,192,17.6
2162,2009,Alzheimer's disease (G30),Alzheimer's disease,Florida,4617,17.6
2163,2001,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,2753,17.6
2164,2008,Diabetes mellitus (E10-E14),Diabetes,Colorado,767,17.6
2165,2012,Diabetes mellitus (E10-E14),Diabetes,Iowa,692,17.6
2166,2014,Diabetes mellitus (E10-E14),Diabetes,Wyoming,110,17.6
2167,2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Colorado,666,17.6
2168,2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Hawaii,237,17.6
2169,2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Maine,333,17.6
2170,2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,United States,56284,17.6
2171,2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Virginia,1421,17.6
2172,2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Kansas,554,17.6
2173,2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Kansas,531,17.6
2174,2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Massachusetts,1231,17.6
2175,2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Missouri,1076,17.6
2176,2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,New Jersey,1624,17.6
2177,2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,North Carolina,1315,17.6
2178,2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Virginia,1553,17.6
2179,2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Idaho,236,17.6
2180,2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Oklahoma,670,17.6
2181,2000,Alzheimer's disease (G30),Alzheimer's disease,Illinois,2154,17.7
2182,2010,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,1878,17.7
2183,2003,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,1636,17.7
2184,2000,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,275,17.7
